Player,Season,League,GP,G,A,PTS,PIM,+/-
Jamie Drysdale,,OJHL,1.0,0.0,0.0,0.0,0.0,0.0
Jamie Drysdale,2020-21,NHL,24.0,3.0,5.0,8.0,6.0,-12.0
Jamie Drysdale,2021-22,NHL,81.0,4.0,28.0,32.0,16.0,-26.0
Jamie Drysdale,2022-23,NHL,8.0,0.0,0.0,0.0,2.0,-3.0
Jamie Oleksiak,,AHL,163.0,15.0,57.0,72.0,72.0,53.0
Jamie Oleksiak,,H-East,38.0,4.0,9.0,13.0,57.0,0.0
Jamie Oleksiak,,OHL,59.0,12.0,20.0,32.0,47.0,31.0
Jamie Oleksiak,,USHL,82.0,2.0,16.0,18.0,122.0,-3.0
Jamie Oleksiak,2012-13,NHL,16.0,0.0,2.0,2.0,14.0,-5.0
Jamie Oleksiak,2013-14,NHL,7.0,0.0,0.0,0.0,2.0,-3.0
Jamie Oleksiak,2014-15,NHL,36.0,1.0,7.0,8.0,8.0,0.0
Jan Jenik,,AHL,110.0,30.0,54.0,84.0,167.0,-35.0
Jan Jenik,,Czech,16.0,0.0,2.0,2.0,20.0,0.0
Jan Jenik,,Mestis,7.0,5.0,3.0,8.0,6.0,0.0
Jan Jenik,,OHL,54.0,35.0,51.0,86.0,79.0,4.0
Jan Jenik,2020-21,NHL,2.0,2.0,0.0,2.0,0.0,3.0
Jan Jenik,2021-22,NHL,13.0,2.0,1.0,3.0,11.0,-6.0
Jan Jenik,2022-23,NHL,2.0,0.0,0.0,0.0,4.0,0.0
Jani Hakanp,,AHL,179.0,7.0,26.0,33.0,110.0,32.0
Jani Hakanp,,ECHL,2.0,1.0,0.0,1.0,0.0,-1.0
Jani Hakanp,,Mestis,8.0,1.0,2.0,3.0,31.0,-10.0
Jani Hakanp,,SM-liiga,298.0,25.0,56.0,81.0,303.0,76.0
Jani Hakanp,2019-20,NHL,5.0,1.0,0.0,1.0,2.0,1.0
Jani Hakanp,2020-21,NHL,42.0,0.0,1.0,1.0,31.0,0.0
Jani Hakanp,2020-21,NHL,15.0,2.0,1.0,3.0,4.0,4.0
Jani Hakanp,2021-22,NHL,80.0,4.0,8.0,12.0,43.0,1.0
Jansen Harkins,,AHL,156.0,27.0,55.0,82.0,88.0,12.0
Jansen Harkins,,ECHL,6.0,2.0,4.0,6.0,4.0,0.0
Jansen Harkins,,WHL,273.0,75.0,167.0,242.0,164.0,3.0
Jansen Harkins,2019-20,NHL,29.0,2.0,5.0,7.0,5.0,-2.0
Jansen Harkins,2020-21,NHL,26.0,1.0,1.0,2.0,4.0,-2.0
Jansen Harkins,2021-22,NHL,77.0,7.0,6.0,13.0,15.0,-8.0
Jared McCann,,AHL,42.0,11.0,14.0,25.0,55.0,5.0
Jared McCann,,GOJHL,4.0,1.0,0.0,1.0,2.0,0.0
Jared McCann,,OHL,184.0,82.0,105.0,187.0,113.0,33.0
Jared McCann,2015-16,NHL,69.0,9.0,9.0,18.0,32.0,-6.0
Jared McCann,2016-17,NHL,29.0,1.0,6.0,7.0,4.0,-1.0
Jared McCann,2017-18,NHL,68.0,9.0,19.0,28.0,30.0,11.0
Jared Spurgeon,,AHL,23.0,2.0,7.0,9.0,10.0,-5.0
Jared Spurgeon,,Swiss-A,12.0,3.0,4.0,7.0,6.0,-9.0
Jared Spurgeon,,WHL,266.0,37.0,133.0,170.0,118.0,64.0
Jared Spurgeon,2010-11,NHL,53.0,4.0,8.0,12.0,2.0,-1.0
Jared Spurgeon,2011-12,NHL,70.0,3.0,20.0,23.0,6.0,-4.0
Jared Spurgeon,2012-13,NHL,39.0,5.0,10.0,15.0,4.0,1.0
Jason Dickinson,,AHL,175.0,49.0,65.0,114.0,105.0,0.0
Jason Dickinson,,OHL,253.0,84.0,147.0,231.0,129.0,58.0
Jason Dickinson,2015-16,NHL,1.0,1.0,0.0,1.0,0.0,1.0
Jason Dickinson,2016-17,NHL,10.0,2.0,0.0,2.0,0.0,-3.0
Jason Dickinson,2017-18,NHL,27.0,0.0,2.0,2.0,17.0,-2.0
Jason Robertson,,AHL,60.0,25.0,22.0,47.0,28.0,-6.0
Jason Robertson,,OHL,252.0,149.0,168.0,317.0,113.0,53.0
Jason Robertson,2019-20,NHL,3.0,0.0,1.0,1.0,0.0,0.0
Jason Robertson,2020-21,NHL,51.0,17.0,28.0,45.0,16.0,13.0
Jason Robertson,2021-22,NHL,74.0,41.0,38.0,79.0,22.0,16.0
Jason Zucker,,AHL,77.0,32.0,31.0,63.0,98.0,-14.0
Jason Zucker,,Ind,16.0,2.0,6.0,8.0,8.0,0.0
Jason Zucker,,NAHL,36.0,11.0,4.0,15.0,55.0,-3.0
Jason Zucker,,USHL,22.0,11.0,7.0,18.0,23.0,6.0
Jason Zucker,,WCHA,78.0,45.0,46.0,91.0,97.0,0.0
Jason Zucker,2011-12,NHL,6.0,0.0,2.0,2.0,2.0,-2.0
Jason Zucker,2012-13,NHL,20.0,4.0,1.0,5.0,8.0,4.0
Jason Zucker,2013-14,NHL,21.0,4.0,1.0,5.0,2.0,2.0
Jean-Gabriel Pageau,,AHL,142.0,38.0,56.0,94.0,83.0,32.0
Jean-Gabriel Pageau,,QMJHL,175.0,80.0,95.0,175.0,67.0,27.0
Jean-Gabriel Pageau,2012-13,NHL,9.0,2.0,2.0,4.0,0.0,3.0
Jean-Gabriel Pageau,2013-14,NHL,28.0,2.0,0.0,2.0,12.0,-5.0
Jean-Gabriel Pageau,2014-15,NHL,50.0,10.0,9.0,19.0,9.0,4.0
Jeff Petry,,AHL,51.0,7.0,21.0,28.0,22.0,-15.0
Jeff Petry,,CCHA,118.0,9.0,58.0,67.0,86.0,0.0
Jeff Petry,,USHL,103.0,19.0,41.0,60.0,139.0,6.0
Jeff Petry,2010-11,NHL,35.0,1.0,4.0,5.0,10.0,-12.0
Jeff Petry,2011-12,NHL,73.0,2.0,23.0,25.0,26.0,-7.0
Jeff Petry,2012-13,NHL,48.0,3.0,9.0,12.0,29.0,1.0
Jeffrey Viel,,AHL,212.0,45.0,48.0,93.0,398.0,-22.0
Jeffrey Viel,,QMJHL,259.0,115.0,81.0,196.0,499.0,12.0
Jeffrey Viel,2020-21,NHL,11.0,0.0,0.0,0.0,23.0,-7.0
Jeffrey Viel,2021-22,NHL,34.0,3.0,2.0,5.0,114.0,-2.0
Jeffrey Viel,2022-23,NHL,4.0,0.0,0.0,0.0,2.0,0.0
Jeremy Lauzon,,AHL,126.0,3.0,24.0,27.0,145.0,31.0
Jeremy Lauzon,,QMJHL,200.0,35.0,95.0,130.0,282.0,81.0
Jeremy Lauzon,2018-19,NHL,16.0,1.0,0.0,1.0,2.0,-1.0
Jeremy Lauzon,2019-20,NHL,19.0,1.0,1.0,2.0,29.0,5.0
Jeremy Lauzon,2020-21,NHL,41.0,1.0,7.0,8.0,40.0,8.0
Jesper Boqvist,,AHL,34.0,12.0,14.0,26.0,14.0,7.0
Jesper Boqvist,,Swe-1,32.0,6.0,16.0,22.0,0.0,3.0
Jesper Boqvist,,Swe-Jr,64.0,34.0,46.0,80.0,16.0,33.0
Jesper Boqvist,,SweHL,98.0,16.0,39.0,55.0,20.0,13.0
Jesper Boqvist,2019-20,NHL,35.0,4.0,0.0,4.0,8.0,-11.0
Jesper Boqvist,2020-21,NHL,28.0,4.0,3.0,7.0,2.0,-5.0
Jesper Boqvist,2021-22,NHL,56.0,10.0,13.0,23.0,10.0,-9.0
Jesper Bratt,,Swe-1,95.0,14.0,25.0,39.0,12.0,-1.0
Jesper Bratt,,Swe-Jr,42.0,18.0,25.0,43.0,22.0,0.0
Jesper Bratt,2017-18,NHL,74.0,13.0,22.0,35.0,18.0,-16.0
Jesper Bratt,2018-19,NHL,51.0,8.0,25.0,33.0,6.0,-8.0
Jesper Bratt,2019-20,NHL,60.0,16.0,16.0,32.0,6.0,-6.0
Jesperi Kotkaniemi,,AHL,13.0,1.0,12.0,13.0,16.0,0.0
Jesperi Kotkaniemi,,SM-liiga,67.0,12.0,25.0,37.0,28.0,-4.0
Jesperi Kotkaniemi,2018-19,NHL,79.0,11.0,23.0,34.0,26.0,1.0
Jesperi Kotkaniemi,2019-20,NHL,36.0,6.0,2.0,8.0,23.0,-11.0
Jesperi Kotkaniemi,2020-21,NHL,56.0,5.0,15.0,20.0,12.0,-1.0
Jesse Puljujarvi,,AHL,53.0,15.0,22.0,37.0,21.0,-2.0
Jesse Puljujarvi,,Mestis,15.0,8.0,5.0,13.0,8.0,9.0
Jesse Puljujarvi,,SM-liiga,71.0,17.0,22.0,39.0,32.0,9.0
Jesse Puljujarvi,2016-17,NHL,28.0,1.0,7.0,8.0,10.0,5.0
Jesse Puljujarvi,2017-18,NHL,65.0,12.0,8.0,20.0,14.0,-1.0
Jesse Puljujarvi,2018-19,NHL,46.0,4.0,5.0,9.0,16.0,-14.0
Joe Veleno,,AHL,69.0,18.0,18.0,36.0,26.0,-27.0
Joe Veleno,,QMJHL,230.0,90.0,176.0,266.0,106.0,82.0
Joe Veleno,,SweHL,46.0,11.0,9.0,20.0,20.0,-9.0
Joe Veleno,2020-21,NHL,5.0,1.0,0.0,1.0,4.0,0.0
Joe Veleno,2021-22,NHL,66.0,8.0,7.0,15.0,22.0,-14.0
Joe Veleno,2022-23,NHL,81.0,9.0,11.0,20.0,30.0,-12.0
Joel Armia,,AHL,126.0,22.0,46.0,68.0,107.0,0.0
Joel Armia,,Mestis,4.0,0.0,3.0,3.0,6.0,0.0
Joel Armia,,SM-liiga,149.0,55.0,45.0,100.0,120.0,33.0
Joel Armia,2014-15,NHL,1.0,0.0,0.0,0.0,0.0,0.0
Joel Armia,2015-16,NHL,43.0,4.0,6.0,10.0,12.0,2.0
Joel Armia,2016-17,NHL,57.0,10.0,9.0,19.0,20.0,-8.0
Joel Edmundson,,AHL,100.0,8.0,12.0,20.0,172.0,12.0
Joel Edmundson,,WHL,190.0,15.0,53.0,68.0,327.0,14.0
Joel Edmundson,2015-16,NHL,67.0,1.0,8.0,9.0,63.0,0.0
Joel Edmundson,2016-17,NHL,69.0,3.0,12.0,15.0,60.0,11.0
Joel Edmundson,2017-18,NHL,69.0,7.0,10.0,17.0,57.0,-1.0
Joel Farabee,,AHL,5.0,3.0,1.0,4.0,2.0,3.0
Joel Farabee,,Exhibition,36.0,18.0,18.0,36.0,26.0,15.0
Joel Farabee,,H-East,37.0,17.0,19.0,36.0,57.0,4.0
Joel Farabee,,USHL,56.0,27.0,36.0,63.0,40.0,26.0
Joel Farabee,2019-20,NHL,52.0,8.0,13.0,21.0,39.0,6.0
Joel Farabee,2020-21,NHL,55.0,20.0,18.0,38.0,28.0,0.0
Joel Farabee,2021-22,NHL,63.0,17.0,17.0,34.0,50.0,-11.0
Joel Hanley,,AHL,259.0,11.0,66.0,77.0,130.0,33.0
Joel Hanley,,ECHL,3.0,1.0,0.0,1.0,0.0,2.0
Joel Hanley,,H-East,131.0,17.0,58.0,75.0,127.0,0.0
Joel Hanley,,OJHL,73.0,19.0,39.0,58.0,72.0,2.0
Joel Hanley,,OPJHL,2.0,0.0,0.0,0.0,0.0,0.0
Joel Hanley,2015-16,NHL,10.0,0.0,6.0,6.0,0.0,0.0
Joel Hanley,2016-17,NHL,7.0,0.0,0.0,0.0,4.0,-3.0
Joel Hanley,2017-18,NHL,5.0,0.0,0.0,0.0,0.0,0.0
Joel Kiviranta,,AHL,48.0,12.0,11.0,23.0,25.0,1.0
Joel Kiviranta,,Mestis,1.0,0.0,1.0,1.0,2.0,1.0
Joel Kiviranta,,SM-liiga,261.0,60.0,54.0,114.0,96.0,2.0
Joel Kiviranta,2019-20,NHL,11.0,1.0,0.0,1.0,4.0,-1.0
Joel Kiviranta,2020-21,NHL,26.0,6.0,5.0,11.0,6.0,3.0
Joel Kiviranta,2021-22,NHL,56.0,1.0,6.0,7.0,10.0,-6.0
John Hayden,,AHL,24.0,5.0,12.0,17.0,7.0,0.0
John Hayden,,ECAC,127.0,50.0,41.0,91.0,116.0,9.0
John Hayden,,USHL,60.0,19.0,16.0,35.0,102.0,6.0
John Hayden,2016-17,NHL,12.0,1.0,3.0,4.0,4.0,3.0
John Hayden,2017-18,NHL,47.0,4.0,9.0,13.0,54.0,-4.0
John Hayden,2018-19,NHL,54.0,3.0,2.0,5.0,27.0,-12.0
John Klingberg,,AHL,13.0,4.0,9.0,13.0,10.0,7.0
John Klingberg,,Mestis,6.0,1.0,4.0,5.0,0.0,-1.0
John Klingberg,,SEL,67.0,2.0,20.0,22.0,22.0,6.0
John Klingberg,,SM-liiga,20.0,1.0,2.0,3.0,8.0,1.0
John Klingberg,,Swe-1,7.0,1.0,0.0,1.0,2.0,-1.0
John Klingberg,,Swe-Jr,41.0,3.0,19.0,22.0,61.0,22.0
John Klingberg,,SweHL,50.0,11.0,17.0,28.0,12.0,8.0
John Klingberg,2014-15,NHL,65.0,11.0,29.0,40.0,32.0,5.0
John Klingberg,2015-16,NHL,76.0,10.0,48.0,58.0,30.0,22.0
John Klingberg,2016-17,NHL,80.0,13.0,36.0,49.0,34.0,2.0
John Tavares,,OHL,247.0,215.0,218.0,433.0,255.0,44.0
John Tavares,,OPJHL,16.0,11.0,12.0,23.0,8.0,0.0
John Tavares,2009-10,NHL,82.0,24.0,30.0,54.0,22.0,-15.0
John Tavares,2010-11,NHL,79.0,29.0,38.0,67.0,53.0,-16.0
John Tavares,2011-12,NHL,82.0,31.0,50.0,81.0,26.0,-6.0
Johnathan Kovacevic,,AHL,137.0,18.0,40.0,58.0,103.0,45.0
Johnathan Kovacevic,,CCHL,103.0,13.0,42.0,55.0,47.0,0.0
Johnathan Kovacevic,,H-East,101.0,9.0,45.0,54.0,58.0,-5.0
Johnathan Kovacevic,2021-22,NHL,4.0,0.0,0.0,0.0,2.0,1.0
Johnathan Kovacevic,2022-23,NHL,77.0,3.0,12.0,15.0,39.0,3.0
Johnathan Kovacevic,2023-24,NHL,62.0,6.0,7.0,13.0,42.0,11.0
Jonah Gadjovich,,AHL,100.0,32.0,13.0,45.0,81.0,-11.0
Jonah Gadjovich,,OHL,228.0,89.0,66.0,155.0,175.0,33.0
Jonah Gadjovich,2020-21,NHL,1.0,0.0,0.0,0.0,17.0,-1.0
Jonah Gadjovich,2021-22,NHL,43.0,1.0,2.0,3.0,74.0,-9.0
Jonah Gadjovich,2022-23,NHL,35.0,3.0,4.0,7.0,57.0,-3.0
Jonas Brodin,,AHL,9.0,2.0,2.0,4.0,4.0,2.0
Jonas Brodin,,SEL,94.0,0.0,12.0,12.0,28.0,11.0
Jonas Brodin,,Swe-Jr,1.0,0.0,0.0,0.0,0.0,0.0
Jonas Brodin,2012-13,NHL,45.0,2.0,9.0,11.0,10.0,3.0
Jonas Brodin,2013-14,NHL,79.0,8.0,11.0,19.0,22.0,0.0
Jonas Brodin,2014-15,NHL,71.0,3.0,14.0,17.0,8.0,21.0
Jonas Rondbjerg,,AHL,180.0,41.0,52.0,93.0,30.0,5.0
Jonas Rondbjerg,,Denmark,70.0,13.0,7.0,20.0,6.0,3.0
Jonas Rondbjerg,,Swe-1,5.0,1.0,0.0,1.0,2.0,-2.0
Jonas Rondbjerg,,Swe-Jr,43.0,9.0,22.0,31.0,4.0,13.0
Jonas Rondbjerg,,SweHL,85.0,8.0,9.0,17.0,10.0,-1.0
Jonas Rondbjerg,2021-22,NHL,30.0,2.0,4.0,6.0,4.0,0.0
Jonas Rondbjerg,2022-23,NHL,13.0,0.0,1.0,1.0,4.0,-5.0
Jonas Rondbjerg,2023-24,NHL,20.0,1.0,2.0,3.0,0.0,2.0
Jonas Siegenthaler,,AHL,122.0,8.0,11.0,19.0,101.0,-19.0
Jonas Siegenthaler,,Swiss-A,115.0,4.0,14.0,18.0,85.0,24.0
Jonas Siegenthaler,,Swiss-B,50.0,3.0,13.0,16.0,34.0,0.0
Jonas Siegenthaler,2018-19,NHL,26.0,0.0,4.0,4.0,10.0,6.0
Jonas Siegenthaler,2019-20,NHL,64.0,2.0,7.0,9.0,43.0,11.0
Jonas Siegenthaler,2020-21,NHL,7.0,0.0,0.0,0.0,2.0,-3.0
Jonas Siegenthaler,2020-21,NHL,8.0,0.0,0.0,0.0,2.0,-6.0
Jonatan Berggren,,AHL,130.0,49.0,78.0,127.0,84.0,-23.0
Jonatan Berggren,,Swe-Jr,67.0,24.0,45.0,69.0,42.0,19.0
Jonatan Berggren,,SweHL,99.0,14.0,46.0,60.0,28.0,7.0
Jonatan Berggren,2022-23,NHL,67.0,15.0,13.0,28.0,16.0,-14.0
Jonatan Berggren,2023-24,NHL,12.0,2.0,4.0,6.0,2.0,-1.0
Jonatan Berggren,2024-25,NHL,54.0,9.0,8.0,17.0,12.0,-7.0
Jonathan Drouin,,AHL,19.0,12.0,4.0,16.0,12.0,-5.0
Jonathan Drouin,,QMJHL,128.0,77.0,165.0,242.0,87.0,93.0
Jonathan Drouin,2014-15,NHL,70.0,4.0,28.0,32.0,34.0,3.0
Jonathan Drouin,2015-16,NHL,21.0,4.0,6.0,10.0,4.0,1.0
Jonathan Drouin,2016-17,NHL,73.0,21.0,32.0,53.0,16.0,-13.0
Jonathan Huberdeau,,QMJHL,195.0,104.0,153.0,257.0,229.0,139.0
Jonathan Huberdeau,2012-13,NHL,48.0,14.0,17.0,31.0,18.0,-15.0
Jonathan Huberdeau,2013-14,NHL,69.0,9.0,19.0,28.0,37.0,-5.0
Jonathan Huberdeau,2014-15,NHL,79.0,15.0,39.0,54.0,38.0,10.0
Jonathan Marchessault,,AHL,295.0,92.0,162.0,254.0,212.0,18.0
Jonathan Marchessault,,QMJHL,254.0,98.0,141.0,239.0,188.0,93.0
Jonathan Marchessault,2012-13,NHL,2.0,0.0,0.0,0.0,0.0,-1.0
Jonathan Marchessault,2014-15,NHL,2.0,1.0,0.0,1.0,0.0,1.0
Jordan Greenway,,AHL,5.0,3.0,3.0,6.0,0.0,2.0
Jordan Greenway,,H-East,112.0,28.0,64.0,92.0,192.0,34.0
Jordan Greenway,,USHL,55.0,15.0,31.0,46.0,77.0,9.0
Jordan Greenway,2017-18,NHL,6.0,0.0,1.0,1.0,0.0,0.0
Jordan Greenway,2018-19,NHL,81.0,12.0,12.0,24.0,29.0,-12.0
Jordan Greenway,2019-20,NHL,67.0,8.0,20.0,28.0,54.0,2.0
Jordan Kyrou,,AHL,64.0,25.0,33.0,58.0,20.0,6.0
Jordan Kyrou,,OHL,250.0,99.0,191.0,290.0,84.0,52.0
Jordan Kyrou,2018-19,NHL,16.0,1.0,2.0,3.0,4.0,-1.0
Jordan Kyrou,2019-20,NHL,28.0,4.0,5.0,9.0,8.0,1.0
Jordan Kyrou,2020-21,NHL,55.0,14.0,21.0,35.0,12.0,1.0
Jordan Martinook,,AHL,182.0,38.0,54.0,92.0,119.0,-4.0
Jordan Martinook,,AJHL,61.0,21.0,19.0,40.0,48.0,0.0
Jordan Martinook,,WHL,144.0,51.0,41.0,92.0,147.0,15.0
Jordan Martinook,2014-15,NHL,8.0,0.0,1.0,1.0,0.0,-3.0
Jordan Martinook,2015-16,NHL,81.0,9.0,15.0,24.0,18.0,-9.0
Jordan Martinook,2016-17,NHL,77.0,11.0,14.0,25.0,40.0,-8.0
Jordan Oesterle,,AHL,157.0,20.0,63.0,83.0,30.0,-5.0
Jordan Oesterle,,CCHA,79.0,5.0,12.0,17.0,22.0,0.0
Jordan Oesterle,,NCHC,34.0,2.0,15.0,17.0,27.0,0.0
Jordan Oesterle,,USHL,54.0,2.0,13.0,15.0,16.0,8.0
Jordan Oesterle,2014-15,NHL,6.0,0.0,1.0,1.0,0.0,-4.0
Jordan Oesterle,2015-16,NHL,17.0,0.0,5.0,5.0,0.0,1.0
Jordan Oesterle,2016-17,NHL,2.0,0.0,0.0,0.0,0.0,-1.0
Jordan Spence,,AHL,103.0,8.0,79.0,87.0,64.0,0.0
Jordan Spence,,MHL,50.0,13.0,38.0,51.0,16.0,0.0
Jordan Spence,,QMJHL,160.0,25.0,116.0,141.0,60.0,70.0
Jordan Spence,2021-22,NHL,24.0,2.0,6.0,8.0,2.0,0.0
Jordan Spence,2022-23,NHL,6.0,0.0,1.0,1.0,0.0,1.0
Jordan Spence,2023-24,NHL,71.0,2.0,22.0,24.0,12.0,5.0
Jordan Staal,,OHL,134.0,37.0,59.0,96.0,98.0,17.0
Jordan Staal,2006-07,NHL,81.0,29.0,13.0,42.0,24.0,16.0
Jordan Staal,2007-08,NHL,82.0,12.0,16.0,28.0,55.0,-5.0
Jordan Staal,2008-09,NHL,82.0,22.0,27.0,49.0,37.0,5.0
Josh Manson,,AHL,45.0,4.0,9.0,13.0,73.0,-5.0
Josh Manson,,BCHL,111.0,22.0,49.0,71.0,155.0,0.0
Josh Manson,,H-East,99.0,6.0,15.0,21.0,158.0,0.0
Josh Manson,,SJHL,2.0,0.0,0.0,0.0,0.0,0.0
Josh Manson,2014-15,NHL,28.0,0.0,3.0,3.0,31.0,1.0
Josh Manson,2015-16,NHL,71.0,5.0,10.0,15.0,74.0,11.0
Josh Manson,2016-17,NHL,82.0,5.0,12.0,17.0,82.0,14.0
Josh Morrissey,,AHL,65.0,3.0,20.0,23.0,49.0,-8.0
Josh Morrissey,,WHL,249.0,66.0,130.0,196.0,276.0,16.0
Josh Morrissey,2015-16,NHL,1.0,0.0,0.0,0.0,0.0,0.0
Josh Morrissey,2016-17,NHL,82.0,6.0,14.0,20.0,38.0,6.0
Josh Morrissey,2017-18,NHL,81.0,7.0,19.0,26.0,47.0,15.0
Josh Norris,,AHL,56.0,31.0,30.0,61.0,21.0,9.0
Josh Norris,,Big-10,54.0,18.0,24.0,42.0,34.0,-10.0
Josh Norris,,USHL,49.0,14.0,19.0,33.0,34.0,-5.0
Josh Norris,2019-20,NHL,3.0,0.0,0.0,0.0,0.0,2.0
Josh Norris,2020-21,NHL,56.0,17.0,18.0,35.0,13.0,-12.0
Josh Norris,2021-22,NHL,66.0,35.0,20.0,55.0,16.0,-7.0
Joshua Mahura,,AHL,112.0,11.0,49.0,60.0,66.0,6.0
Joshua Mahura,,WHL,186.0,41.0,90.0,131.0,119.0,44.0
Joshua Mahura,2018-19,NHL,17.0,1.0,4.0,5.0,4.0,0.0
Joshua Mahura,2019-20,NHL,11.0,1.0,3.0,4.0,2.0,-3.0
Joshua Mahura,2020-21,NHL,13.0,1.0,3.0,4.0,4.0,0.0
Juraj Slafkovsky,,SM-liiga,31.0,5.0,5.0,10.0,33.0,1.0
Juraj Slafkovsky,2022-23,NHL,39.0,4.0,6.0,10.0,33.0,-13.0
Juraj Slafkovsky,2023-24,NHL,82.0,20.0,30.0,50.0,55.0,-19.0
Juraj Slafkovsky,2024-25,NHL,53.0,8.0,22.0,30.0,20.0,-10.0
Justin Danforth,,AHA,147.0,42.0,82.0,124.0,125.0,3.0
Justin Danforth,,AHL,29.0,6.0,6.0,12.0,16.0,-4.0
Justin Danforth,,ECHL,47.0,29.0,33.0,62.0,42.0,25.0
Justin Danforth,,KHL,58.0,23.0,32.0,55.0,50.0,3.0
Justin Danforth,,OJHL,134.0,57.0,84.0,141.0,110.0,-1.0
Justin Danforth,,SM-liiga,115.0,45.0,67.0,112.0,99.0,33.0
Justin Danforth,2021-22,NHL,45.0,10.0,4.0,14.0,10.0,-5.0
Justin Danforth,2022-23,NHL,6.0,2.0,1.0,3.0,4.0,-3.0
Justin Danforth,2023-24,NHL,71.0,10.0,16.0,26.0,26.0,-10.0
Justin Dowling,,AHL,435.0,99.0,202.0,301.0,90.0,23.0
Justin Dowling,,ECHL,60.0,19.0,51.0,70.0,22.0,5.0
Justin Dowling,,WHL,280.0,81.0,161.0,242.0,57.0,22.0
Justin Dowling,2016-17,NHL,9.0,0.0,2.0,2.0,2.0,0.0
Justin Dowling,2018-19,NHL,11.0,0.0,1.0,1.0,0.0,-4.0
Justin Kirkland,,AHL,408.0,75.0,125.0,200.0,287.0,-62.0
Justin Kirkland,,ECHL,4.0,1.0,1.0,2.0,2.0,2.0
Justin Kirkland,,SJHL,1.0,0.0,0.0,0.0,0.0,0.0
Justin Kirkland,,WHL,199.0,71.0,98.0,169.0,140.0,79.0
Justin Kirkland,2022-23,NHL,7.0,0.0,0.0,0.0,0.0,-3.0
Justin Kirkland,2023-24,NHL,2.0,0.0,0.0,0.0,0.0,0.0
Justin Kirkland,2024-25,NHL,21.0,2.0,6.0,8.0,11.0,6.0
Juuso Parssinen,,AHL,46.0,9.0,25.0,34.0,26.0,19.0
Juuso Parssinen,,SM-liiga,134.0,23.0,64.0,87.0,48.0,9.0
Juuso Parssinen,2022-23,NHL,45.0,6.0,19.0,25.0,15.0,-1.0
Juuso Parssinen,2023-24,NHL,44.0,8.0,4.0,12.0,12.0,-6.0
Juuso Parssinen,2024-25,NHL,15.0,2.0,3.0,5.0,0.0,-8.0
Juuso Parssinen,2024-25,NHL,20.0,2.0,3.0,5.0,8.0,1.0
Juuso Valimaki,,AHL,20.0,4.0,10.0,14.0,18.0,9.0
Juuso Valimaki,,SM-liiga,19.0,2.0,17.0,19.0,20.0,15.0
Juuso Valimaki,,WHL,159.0,40.0,98.0,138.0,92.0,16.0
Juuso Valimaki,2018-19,NHL,24.0,1.0,2.0,3.0,12.0,-2.0
Juuso Valimaki,2020-21,NHL,49.0,2.0,9.0,11.0,26.0,-2.0
K'Andre Miller,,Big-10,62.0,12.0,28.0,40.0,42.0,0.0
K'Andre Miller,,Exhibition,36.0,5.0,8.0,13.0,20.0,10.0
K'Andre Miller,,USHL,56.0,4.0,19.0,23.0,18.0,-16.0
K'Andre Miller,2020-21,NHL,53.0,5.0,7.0,12.0,20.0,9.0
K'Andre Miller,2021-22,NHL,82.0,7.0,13.0,20.0,24.0,23.0
K'Andre Miller,2022-23,NHL,79.0,9.0,34.0,43.0,47.0,12.0
Kaapo Kakko,,SM-liiga,51.0,22.0,17.0,39.0,10.0,-2.0
Kaapo Kakko,2019-20,NHL,66.0,10.0,13.0,23.0,14.0,-26.0
Kaapo Kakko,2020-21,NHL,48.0,9.0,8.0,17.0,10.0,3.0
Kaapo Kakko,2021-22,NHL,43.0,7.0,11.0,18.0,10.0,9.0
Kaedan Korczak,,AHL,134.0,7.0,32.0,39.0,124.0,-3.0
Kaedan Korczak,,WHL,214.0,21.0,85.0,106.0,158.0,7.0
Kaedan Korczak,2021-22,NHL,1.0,0.0,0.0,0.0,0.0,1.0
Kaedan Korczak,2022-23,NHL,10.0,0.0,2.0,2.0,0.0,-3.0
Kaedan Korczak,2023-24,NHL,26.0,1.0,8.0,9.0,8.0,12.0
Kaiden Guhle,,AHL,3.0,0.0,0.0,0.0,0.0,0.0
Kaiden Guhle,,WHL,181.0,22.0,78.0,100.0,157.0,64.0
Kaiden Guhle,2022-23,NHL,44.0,4.0,14.0,18.0,27.0,-19.0
Kaiden Guhle,2023-24,NHL,70.0,6.0,16.0,22.0,56.0,-8.0
Kaiden Guhle,2024-25,NHL,44.0,4.0,10.0,14.0,27.0,2.0
Kailer Yamamoto,,AHL,50.0,18.0,16.0,34.0,32.0,5.0
Kailer Yamamoto,,WHL,230.0,105.0,186.0,291.0,148.0,68.0
Kailer Yamamoto,2017-18,NHL,9.0,0.0,3.0,3.0,2.0,-2.0
Kailer Yamamoto,2018-19,NHL,17.0,1.0,1.0,2.0,2.0,-6.0
Kailer Yamamoto,2019-20,NHL,27.0,11.0,15.0,26.0,12.0,17.0
Kasperi Kapanen,,AHL,119.0,40.0,54.0,94.0,36.0,16.0
Kasperi Kapanen,,SM-liiga,101.0,22.0,17.0,39.0,26.0,-5.0
Kasperi Kapanen,2015-16,NHL,9.0,0.0,0.0,0.0,2.0,-3.0
Kasperi Kapanen,2016-17,NHL,8.0,1.0,0.0,1.0,0.0,-2.0
Kasperi Kapanen,2017-18,NHL,38.0,7.0,2.0,9.0,4.0,-1.0
